option_type,strike,moneyness,bid,ask,mid,implied_vol,volume,openInterest,lastTradeDate
put,6010.0,0.7861424120993796,9.6,10.0,9.8,0.34517695333166676,20.0,0,2026-09-01 18:44:54+00:00
put,6020.0,0.7874504693574486,9.8,10.2,10.0,0.34433184748743206,10.0,0,2026-09-01 16:25:55+00:00
put,6025.0,0.788104497986483,9.8,10.3,10.05,0.3436082281949134,2.0,0,2026-09-10 15:08:27+00:00
put,6030.0,0.7887585266155174,9.9,10.3,10.100000000000001,0.34288292325686587,3.0,0,2026-08-21 15:36:44+00:00
put,6040.0,0.7900665838735862,10.0,10.4,10.2,0.3414273054051183,2.0,0,2026-09-08 13:55:57+00:00
put,6050.0,0.7913746411316551,10.1,10.5,10.3,0.3399650899049114,8.0,0,2026-09-10 15:28:28+00:00
put,6060.0,0.7926826983897239,10.3,10.7,10.5,0.33905954299887825,8.0,0,2026-08-31 19:21:06+00:00
put,6070.0,0.7939907556477928,10.3,10.8,10.55,0.33730033110302077,10.0,0,2026-08-31 14:18:00+00:00
put,6075.0,0.7946447842768272,10.5,10.9,10.7,0.33711195228912044,5.0,0,2026-08-27 16:51:38+00:00
put,6090.0,0.7966068701639305,10.7,11.1,10.899999999999999,0.3351413096818011,4.0,0,2026-09-04 17:10:10+00:00
put,6100.0,0.7979149274219993,10.7,11.2,10.95,0.3333679994656588,15.0,0,2026-09-10 19:47:10+00:00
put,6110.0,0.7992229846800681,10.9,11.4,11.15,0.33239078523443577,1.0,0,2026-08-10 16:44:21+00:00
put,6120.0,0.8005310419381371,11.1,11.5,11.3,0.3311333042473248,10.0,0,2026-09-08 14:14:09+00:00
put,6125.0,0.8011850705671715,11.1,11.5,11.3,0.3301097565440578,2.0,0,2026-09-10 15:08:27+00:00
put,6130.0,0.8018390991962059,11.1,11.6,11.35,0.3293465464109942,29.0,0,2026-08-11 15:25:01+00:00
put,6150.0,0.8044552137123436,11.4,11.9,11.65,0.32678722283541234,7.0,0,2026-09-08 19:31:39+00:00
put,6160.0,0.8057632709704124,11.6,12.1,11.85,0.3257406503669556,1.0,0,2026-08-27 13:58:56+00:00
put,6170.0,0.8070713282284813,11.7,12.2,11.95,0.3241836321969594,10.0,0,2026-08-25 13:34:14+00:00
put,6175.0,0.8077253568575157,11.8,12.4,12.100000000000001,0.32389373404739963,3.0,0,2026-08-24 15:33:39+00:00
put,6180.0,0.8083793854865502,11.8,12.4,12.100000000000001,0.32286573012711645,1.0,0,2026-09-01 19:26:36+00:00
put,6190.0,0.809687442744619,12.0,12.5,12.25,0.3215373388247272,2.0,0,2026-09-10 14:07:55+00:00
put,6200.0,0.8109955000026878,12.1,12.7,12.399999999999999,0.3201986361805958,108.0,0,2026-09-10 20:00:08+00:00
put,6210.0,0.8123035572607568,12.3,12.8,12.55,0.318849793572932,2.0,0,2026-08-26 16:59:47+00:00
put,6220.0,0.8136116145188256,12.5,13.1,12.8,0.3179556419432382,2.0,0,2026-08-27 13:55:40+00:00
put,6225.0,0.81426564314786,12.5,13.1,12.8,0.3169235661089274,2.0,0,2026-08-27 13:55:24+00:00
put,6230.0,0.8149196717768944,12.7,13.2,12.95,0.316581661412198,6.0,0,2026-09-03 16:47:44+00:00
put,6240.0,0.8162277290349632,12.8,13.3,13.05,0.314971330371857,40.0,0,2026-09-09 14:03:35+00:00
put,6250.0,0.8175357862930321,12.9,13.5,13.2,0.31358093548403865,10.0,0,2026-09-10 18:51:32+00:00
put,6260.0,0.818843843551101,13.1,13.7,13.399999999999999,0.31240289946666416,8.0,0,2026-09-03 16:52:44+00:00
put,6270.0,0.8201519008091698,13.3,13.8,13.55,0.3109915041385596,10.0,0,2026-09-09 15:16:58+00:00
put,6275.0,0.8208059294382042,13.4,13.9,13.65,0.3103912352316911,5.0,0,2026-09-09 14:26:00+00:00
put,6280.0,0.8214599580672387,13.5,14.0,13.75,0.3097874053389099,4.0,0,2026-09-04 14:05:36+00:00
put,6290.0,0.8227680153253075,13.6,14.2,13.899999999999999,0.3083557121307521,2.0,0,2026-09-10 14:07:55+00:00
put,6300.0,0.8240760725833763,13.9,14.4,14.15,0.30733717055310683,56.0,0,2026-09-10 19:41:18+00:00
put,6310.0,0.8253841298414453,14.0,14.6,14.3,0.3058835379344459,,0,2026-08-28 17:54:17+00:00
put,6325.0,0.8273462157285485,14.3,14.9,14.600000000000001,0.30399418446250925,5.0,0,2026-08-24 14:31:53+00:00
put,6330.0,0.8280002443575829,14.4,15.0,14.7,0.30335785403124377,2.0,0,2026-09-03 16:32:00+00:00
put,6340.0,0.8293083016156517,14.6,15.2,14.899999999999999,0.3020755485282847,1.0,0,2026-08-28 14:51:23+00:00
put,6350.0,0.8306163588737207,14.8,15.4,15.100000000000001,0.3007805693241649,1.0,0,2026-09-04 13:51:02+00:00
put,6360.0,0.8319244161317895,15.0,15.6,15.3,0.299473131559345,31.0,0,2026-08-21 17:48:07+00:00
put,6370.0,0.8332324733898583,15.2,15.8,15.5,0.298153441760309,2.0,0,2026-09-04 13:46:47+00:00
put,6375.0,0.8338865020188928,15.3,15.9,15.600000000000001,0.2974890646226145,4.0,0,2026-09-03 18:18:48+00:00
put,6380.0,0.8345405306479272,15.4,16.0,15.7,0.2968216982054342,1.0,0,2026-08-10 16:45:11+00:00
put,6390.0,0.835848587905996,15.6,16.2,15.899999999999999,0.2954780912684321,4.0,0,2026-09-03 16:11:46+00:00
put,6400.0,0.8371566451640648,15.8,16.4,16.1,0.2941228037398165,33.0,0,2026-09-10 20:00:08+00:00
put,6410.0,0.8384647024221338,16.0,16.7,16.35,0.29293994845570676,4.0,0,2026-09-03 16:10:57+00:00
put,6420.0,0.8397727596802026,16.2,16.9,16.549999999999997,0.2915596608527954,4.0,0,2026-09-03 16:10:57+00:00
put,6425.0,0.840426788309237,16.4,17.0,16.7,0.29104575299568425,1.0,0,2026-09-10 19:29:55+00:00
put,6430.0,0.8410808169382714,16.5,17.1,16.8,0.2903476089698937,2.0,0,2026-09-03 16:10:12+00:00
put,6440.0,0.8423888741963402,16.7,17.4,17.049999999999997,0.2891201503645606,4.0,0,2026-09-03 16:10:04+00:00
put,6450.0,0.8436969314544092,16.9,17.6,17.25,0.2877028492248823,2.0,0,2026-09-10 18:49:23+00:00
put,6460.0,0.845004988712478,17.3,18.0,17.65,0.28696428120485046,1.0,0,2026-09-04 13:43:38+00:00
put,6470.0,0.8463130459705468,17.5,18.1,17.8,0.28534809327915317,28.0,0,2026-09-09 20:04:18+00:00
put,6475.0,0.8469670745995813,17.6,18.2,17.9,0.2846221175449569,6.0,0,2026-09-10 19:29:55+00:00
put,6480.0,0.8476211032286157,17.8,18.5,18.15,0.28439720039719485,2.0,0,2026-09-01 19:41:43+00:00
put,6490.0,0.8489291604866845,18.0,18.6,18.3,0.28276120829780477,2.0,0,2026-09-03 19:19:18+00:00
put,6500.0,0.8502372177447534,18.2,18.9,18.549999999999997,0.28144682093154916,16.0,0,2026-09-10 19:59:03+00:00
put,6510.0,0.8515452750028223,18.5,19.1,18.8,0.28011876194490326,1.0,0,2026-09-04 15:29:28+00:00
put,6520.0,0.8528533322608911,18.7,19.4,19.049999999999997,0.27877723829299034,28.0,0,2026-09-09 20:04:21+00:00
put,6525.0,0.8535073608899255,19.0,19.7,19.35,0.27865617443602275,1.0,0,2026-09-04 19:55:00+00:00
put,6530.0,0.8541613895189599,19.0,19.7,19.35,0.2775802340229112,1.0,0,2026-09-10 18:17:33+00:00
put,6540.0,0.8554694467770289,19.4,20.1,19.75,0.2766769021309871,2.0,0,2026-08-31 15:58:10+00:00
put,6550.0,0.8567775040350977,19.7,20.4,20.049999999999997,0.275441957683912,2.0,0,2026-09-10 14:50:21+00:00
